English Sentence,Hausa,Sexism
"So she tried to save herself with a preemptive strike, eh? What a conniving bitch.","Don haka ta yi ƙoƙarin ceton kanta ta hanyar kai hari a gaba, ko? Wannan mace mai wayo ce mai dabarun banza!",Yes
"...and when the son grows up and realizes that all the """"women-are-the-best-and-noble-creatures-stories"""" his mother told him were lies shit will hit the fan.","..kuma idan ɗan ya girma ya gane cewa duk """"""""labarun mata-sune-mafi-kyau-da-nagarta"""""""" da mahaifiyarsa ta faɗa masa ƙarya ne, sai ga hargitsi mai tsanani.",No
"I'm told by feminists that men and women are exactly the same. I agree, that is, until I go shopping with a woman, and realize how inanely untrue the statement is.","Masu ra'ayin mata suna gaya mani cewa maza da mata daidai ne. Na yarda da hakan—har sai na tafi kasuwa tare da mace, na gane yadda wannan maganar ba ta da tushe.",Yes
,"Jiya Gomna yaje Darazo kuma ina da dan abin fada akai, amma ko da yake maga wasu yan garinmu basu jin dadin abin da nake fada shikenan. Bari na kame baki na nayi shiru kawai 🚶🏾",No
The article says she is a known drug addict with many arrest and is now in rehab I would not judge the bitch probably did something and had it coming.,"Labarin ya ce ita sanannen masauki ne da yawan kamawa, kuma yanzu tana cikin gidan gyara. Ba zan yi hukunci ba - wataƙila ta yi wani abu kuma ta cancanci hakan.",Yes
,"Daga lokacin da ka bama ALQUR'ANI ragamar rayuwar ka, daga lokacin zaka fara rayuwa babu tuntube.",No
"And men can stop blaming women for their sexual frustrations, women don't give a single shit about them, dumbasses. 😂😂","Kuma maza za su daina zargin mata saboda bukatuwan jima'i—mata ba su damu da su ko kaɗan ba, wawaye. 😂😂",Yes
,Kwana kin nan harta kai bana iya chin Abinci sabida halin da Nigeria take ciki,No
GF? takes less time/effort/inconvenience to dip the stick. now...a wife...that's different...why buy the cow when you get the milk for free.,Soyayya? Ba ta ɗaukar lokaci/ƙoƙari/tasiri kamar shan burodi. Amma matar aure... wannan daban... me zai sa ka sayi saniya idan za ka iya samun madara kyauta?,Yes
,Allah ya kawo Mana dauki,No
EXACTLY THIS. What blue-pilled moron thinks it's a good idea to put women in charge where people's lives are affected based on their judgment? Especially if their judgment is filtered through their current mood?,Haka ne! Wane irin wawan mutum ne ya yi zaton cewa sanya mata masu mulki a wuraren da rayukan mutane ke cikin hatsari labari ne mai kyau? Musamman idan hukuncin su ya dogara ne akan yanayin zuciyarsu na lokacin?,Yes
,Noor Saad Tabbas zaku' sha grammar a gurin komarawan Professors da zasu bayyana zaben 2023,No
More balls than half the nation's men and she's a woman #freetommy,Tana da jaruntaka fiye da rabin mazan ƙasar - kuma ita mace ce! #TommyYanci,Yes
,"Anata Kulle Kamfanoni A Kasashen Turawa, Saboda Tsadar Gas.",No
She's a freak. Become her suitcase pimp and make some money on her before she slams headfirst into the wall.,Mahaukaciya ce. ka zama jakar hannun ta ka samu kuɗi kafin ta buga kan ka da bango.,Yes
,Ina tausayin Macen dake tunanin duk Namiji Mai Mota mai Kudi ne 🤦‍♀️,No
"So maybe this guy was expecting you to be more reserved, then you threw on too big of an escalation that made him think you were too slutty. That's BS. The guy is just not attracted to her. Better to know it earlier than later.","Wataƙila wannan mutumin yana tsammanin za ka kasance mai kunya, sai ka ƙara wani abu wanda ya sa ya yi zaton ka kasance mai lalata. Wannan shirme ne! Mutumin ba ya son ta kawai. Gara ka sani yanzu ba sai daga baya ba.",Yes
,Bahari ya gama aikin sa ya shiga aikin Atiku gadan-gadan.,No
Someone should reverse her life force.,Wani yakamata ya juya rayuwarta ta jiki.,Yes
,"Satan Fasaha: Atiku yace zai sayar da NNPC, toh sun Rigashi seyarwa.Hmm",No
,Daga shafin Artist. Ni kuma nace faƙat za a ruwan ido na tashin hankali wani sai ya samu dubu wata ma hakan nan. Abin dariya sosai 😂😂😂,No
"Aw, what's wrong nigger? You don't like your sheboon exposed for the savage she is? 🤣","Aw, me ya faru ne aboki? baka so a tona asirin ita karuwa ce?🤣",Yes
,"Saura NUC kuma, shi ma ilimin ya koma hannun 'yan kasuwa kowa ma huta. Ah to ai naga Buhari ne dan uwan Tinubu wnd sukeson ya mulki kasar",No
Oh the dirt he must have on this corrupt old hag! I hope he can #LockHerUp,Huh! Abin da zai iya samu na lalata a kan wannan tsohuwa mai cin hanci da rashawa! Ina fatan ya iya #KulleTa!,Yes
,Don Allah ina neman wani daga Birnin Gwari.,No
"""""I'm gonna get so much pussy when women see how much I respect them. I am such a nice guy!""""",Zan samu daman yin jima'i sosai idan mata suka fahimci ina girmama su. ni mutum ne mai daɗin sha'ani.,Yes
"You could always play the game of """"who do you think is sexy?"""" That keeps your relationship honest. A woman's idea to keep a relationship honest is to play games.","Kuna iya koyaushe ku yi wasan """"""""wa kuke ganin yana da kyan gani?"""""""" Wannan yana kiyaye dangantakar ku ta gaskiya. Ra'ayin mace na kiyaye dangantaka ta gaskiya shine ta hanyar wasa.",Yes
,"Na lura Buhari yana son zuwa taro, rebranding logo NNPC shima ace sai an hada taro haka, aci Rice yar Thailand da Bigi Cola. 😟",No
Men want a girl who is a prude for every other man but a slut just for them,"Maza suna son yarinya mai kunya ga kowane namiji, amma mai lalata ne kawai a gare su.",Yes
you're not trying hard enough bitch,"Baki yin iya bakin ƙoƙarin ki, banza karuwa.",Yes
,Akoi banbanci tsakanin zan sayar da NNPC ma abokai na da kuma na mayar da NNPC kamfani mallakin gomnati.Kar ku bari yan PDP su ruda ku.,No
,"NNPC da aka guji Atiku don kada ya siyar da ita, ga shi nan Buhari ya miƙa wa ƴan kasuwa ita. An gudu ba a tsira ba.",No
"If the mother had an ~~fortunate~~ unfortunate accident, it would be a real shame.","Idan mahaifiyar ta sami hatsari, hakan zai kasance abin takaici.",Yes
,"Bata da Masoyi/makiyi na har abada, kasuwar bukata ce! Komai zai iya faruwa, a cigaba da Tafiya kawai😂",No
"women are accessories my dude, don't get too invested.","Mata kaman kaya ne abokina, kar ka zama mai damuwa sosai.",Yes
,Ban da abin Mallam Ashiru Iro yau fa Baba ya saka kamfanin NNPC a kasuwa sai ya sauka za a siyar. Saboda dabara sai ya saka kamfanin a store wai sai 2024 don kada a ce shi ya siyar. To mun gane wayon. 😂,No
Hang her up and set her on fire,Ka rataye ta sannan ka cinna mata wuta,Yes
,Haryanzu bani da labarin wanda ya lashe zaben jihar Osun domin banji labari daga INEC a Hukumance ba ~Cewar Shugaban APC Abdullahi adamu.,No
,ZANCI GABA DA AMFANI DA CALCULATOR WAJEN RIRITA DUKIYAR YAN JIGAWA INJI DANTAKARAR GWAMNA NA JAM'IYYAR APC UMAR NAMADI DANMODI.,No
I dislike females.,Bana son mata.,Yes
,Wannan gwabnatin mai zuwa 2023 ta matasa ce duk wani tsoho👳mai neman mukami yaja baya.,No
Is it supposed to be charming that she is always hungry? Spoiled women are so odd.,Shin kasancewar ta kullum tana jin yinwa abin sha'awa ne? Matan da aka sakalta suna da ban mamaki.,Yes
,"Allah Ka raba mu da mutane masu fuska iri biyu, suyi magana a nan, su karyata kansu a chan.",No
"I love women, and I used to hate the bullshit games they play. Now that I'm a little better at said games, I don't mind them as much.","Ina son mata, kuma na tsani irin wasa da hankalin da suke yi, amma yanzu da yake na iya, hakan bai ɗaga min hankali.",Yes
,yan-uwa mungode da addu'o' inku Allah yabar zamunci,No
Because she should be strung up? By all means then!!,Saboda a kowani hali yakamata a rataye ta? Ta kowani dama to.,Yes
Yeah we had to drop the bomb to save your dipshit punk ass!! Go hide under your mammy's pussy again sissy!!,"Eh, dole ne mu jefa bam domin ceton rayuwarka marar hankali! Ka koma ka ɓuya a farjin mahaifiyar ka kamar ƙaramin yaro!",Yes
,"Duk Wanda yake ganin cewa wannan abar alkairi ce ga al'ummar jihar Jigawa to tabbas ba me kaunar cigaban matasa bane,ba me kaunar cigaban jihar Jigawa bane, ba me kaunar yan siyasa bane musamman ma kananan yan siyasa.",No
By Rachael stating she has been “slut shamed” isn’t she admitting that she’s a slut ? ‘Despite my best efforts I couldn’t find the photos anywhere....damn it !,"Idan Rachael ta ce an zarge ta da lalata, shin hakan ba yana nuna cewa ita ma ta amince da hakan ba ne? Duk da ƙoƙarina, ban iya samun hotunan ko'ina ba... abin takaici!",Yes
Much of the discourse about men is from women femsplaining what men are like. The idea of asking and listen to men never occurred to them.,"Yawancin tattaunawa game da maza daga mata ne suke zuwa, suna bayani yadda suka fahimci halayen maza. Ra’ayin tambayar maza da sauraron abin da suke cewa bai taɓa zo musu a rai ba.",Yes
"There's no such thing as """"out of your league"""". She's a human being, in the same """"league"""" as you. If she thinks she is superior to anyone, ditch the bitch.","Babu wani abu da ake kira “ta fi ƙarfin ka.” Ita mutum ce kamar kai – ku duka a mataki ɗaya kuke. Idan tana ganin tana da fifiko a kan wasu, ka bar 'yar iska kawai.",Yes
,Akwai ƴan wiwi miliyan sha-daya (11million) a Najeriya_NDLEA,No
"These are accomplished women of domesticated finance. They have a talent for recognizing lucrative marriage investments, and the ability to maximize the return on their feigned interest.","Waɗannan matan ƙwararru ne a fannin kula da kuɗaɗen gida. Suna da baiwa wajen gane aure mai fa'ida a matsayin wata irin jarin kuɗi, tare da ƙwarewar haɓaka riba daga sha'awar da suka nuna da gangan.",Yes
"Okay bitch. Go ahead and trot out some women who cook meals and wash clothes, I’ll wait. *sets sundial*","To 'yar iska, sai ki zo da misalan wasu mata da ke dafa abinci da wanke kaya — zan jira. Ya na sa agogon rana.",Yes
,Idan har pi network zai fito da irin wannan farashin to zan iya bawa bankin duniya rancen kudi 🤣🤣🤣🤣,No
"This is a cry for help from the female gender. They are blatantly admitting that they cannot make proper life decisions by themselves, and are begging for men to reinstate full patriarchal rule.","Wannan kamar ƙira ne na neman taimako daga ɓangaren mata. A bayyane suke nuna cewa ba su da cikakkiyar damar yanke shawarwari na rayuwa da kansu, kuma suna roƙon maza da su dawo da cikakken mulkin maza.",Yes
"She knows she's not good enough for more of your time and is blaming you for it. Ditch her asap, she'll only get more clingy and mood swingy.","Tana sane da cewa ba ta da cancanci ta sami ƙarin lokacinka, kuma tana jingina laifin hakan a kanka. Ka yi ƙoƙari ka rabu da ita da wuri, domin za ta ƙara zama mai manne wa da sauyin hali.",Yes
Women can’t rape men. Only men can rape women.,Mata baza su iya fyaɗe wa maza ba. Maza ne kaɗai zasu iya fyaɗe wa mata.,Yes
,Buhari ya gama aikin sa ya shiga aikin Atiku Gadan-Gadan😂,No
"I wonder what would happen if he were to attack her with a high heel. Surely he'd face the same measly punishment, right? He should find out.",Ina tunanin mai zaii faru idan ya kai mata hari da takalmi mai tsayi. Shin za a masa hukunci iri ɗaya? Yakamata ya bincika.,Yes
They are more natural than us. They dont accept or tolerate gynocentrism. Unlike the west who apparently is ok with whatever bullshit women say and do.,"Sun fi mu yanayi na ɗabi'a. Ba sa karbuwa ko haƙuri da fifikon mata. Ba kamar yammacin duniya ba, wanda da alama yana yarda da duk shirmen da mata suka ce ko suka yi.",Yes
,"Abin da ya faru ga NNPC yau kamar mutum ne ya shirya kayansa tsaf don tafiya kasuwa ya siyar. A cewar Mele Kyari, nan da baɗi za su isa kasuwar zuba hannnun jari, a buga wa NNPC karararrawa.",No
"They mean make a lot of money, and it give to her. Alternately, you said a slightly negative thing about an ex, so she's just trying to blame you since pussy is perfect 100% of the time.","Suna nufin ka nemi kuɗi da yawa kabata, amma kuma ka faɗi mummunan magana akan tsohuwar budurwan ka. Yanzu kuma tana so ta tuhume ka tunda farji shke sa gaskiya a koyaushe.",Yes
,"Kayan marmari, Abun shan yan Aljannah",No
I probably wouldn't brag about that because usually when women make those choices they end up either being single moms or knowing the domestic violence hotline number extremely well.,"Da wuya in yi alfahari da hakan, domin yawanci idan mata suka yi irin wannan zaɓi, sai su zama uwaye masu zaman kansu ko kuma ta haddace numban rikicin cikin gida da kyau.",Yes
,Wato a takaice dai shugaba Manjo ya gama mulkinsa be sani ba har ya shiga na Atiku Allah ya bawa Manjo lafiya,No
"Ahh. Yea definite shit test. If you agreed to go over there she probably would have just said “ohh wait i can’t, gotta work earlier than I thought” or some other excuse and then be happy with her validation from you wanting to come over.","Ahh. Eh, lallai gwajin ƙaryar mace ne. Da ka yarda ka je wurin, wataƙila za ta ce ‘Ah, dakata! Ba zan iya ba, dole in fara aiki da wuri’ ko wannan uziri. Sai ta ji daɗin tabbatar da cewa kana son zuwa.",Yes
,Kar nake kallon kowa. Ehe!,No
"And women and cucks wonder why the men who used to attend their churches, dropped religion?",Kuma mata da karuwai suna mamakin dalilin da ya sa mazan da suka kasance masu zuwa coci suka yi watsi da addini?,Yes
,"Billahi, burodi bugun ƙato is underrated! Na samu wani nan, da na tauna, sai da na waiga, na karanta ledar",No
they need male's attention and male's resources.,Suna buƙatar jan hankalin maza da abubuwan su.,Yes
,"A hankalce babu wanda zai so ace ya so wanda baya son shi, amma kuma ita ƙaddara ba ta tsallake ma su hankali shiyasa wasu da hankalinsu amma sai su faɗa son wanda baya son su. Abun burgewar kawai shi ne, duk jarabawar da haƙuri da yarda da Allah Ya biyo bayan ta, to sakamako mai kyau ne ƙarshen ta.",No
If you view women as a reproductive mechanism for the human species everything makes sense. Steal resources & pump out babies.,Idan muka kalli mace a matsayin abin da ke taimakawa wajen ƙara hayayyafa to hakan zai fi. Kawai su haifi yara.,Yes
,"Ruwan sama rahma ce gada Allah, Allah ka bamu damuna mai albarka",No
they do... some can handle rejection by inventing a false rape story or worse. Some will just scream a man has a small dick if he doesn't want her.,Wasu suna iya jure wa ƙin amincewa ta hanyar ƙirƙira labarin fyade na ƙarya—ko mafi muni. Wasu kuma za su yi ihu cewa namiji yana da ƙaramin azzakari idan bai so ta ba.,Yes
,Muhammad Najeeb Aliyu. Allah yaraya bisa sunnah,No
You’re not gonna do it. Marry her and live the rest of your life with an insufferable cunt,Ba za ka yi hakan ba. Ka aure ta ka rayu da wata karuwa mai ban haushi har ƙarshen rayuwarka.,Yes
"If dumb and dumber had a daughter, it would be that stupid commie bitch.","Idan wawa da mafi wauta suna da 'ya, to zata kasance wancan 'yar iskan ce.",Yes
,"Tabbas #ATIKU_ABUBAKAR masani ne kan tattalin arzikin qasa. Abunda #Wazirin_Adamawa yahango sama da shekara hudu(4), sai yau Baba yafahimta. Allah karabamu da wannan tsohon lafiya.",No
Kids make stupid mistakes like tie up mentally handicapped men and torture them. Or gather 6 of their friends and gang rape pregnant women for 18 hours.,"Yara suna yin munanan shirme kaman ɗaure tsoffi masu matsalan ƙwaƙwalwa ko kuma su haɗu su shida da abokan su, suyi fyaɗe wa mata na tsawon awa 18",Yes
,"Saura na ji ""pim....."" na sa Takwara ya hada da Kewaye",No
"🖕🖕🖕🖕🖕🖕 huff post 24/7 365 days a year Disgusting media outlet 99% run by women, and they all hate men. [URL]","🖕🖕🖕🖕🖕🖕 HuffPost kwana 24, shekara 365. Gidan watsa labarai mai banƙyama—kusan kashi 99% na mata ne ke gudanar da shi, kuma duk sun ƙi maza. [URL",Yes
,Fardhosa yarinya ce ƴar shekara 13 amma ba ta taɓa cin abinci ta koshi ba saboda matsalar fari da ƙasarsu ke fuskanta.,No
Kinda what they tell women “you got resting bitch face.” Maybe don’t bring it into some goofy grin but less of a grimace.,"Wani abu kamar abin da suke ce wa mata *‘fuskar ka tana da kamannin bacin rai.’* Watakila kada ka mayar da shi wannan murmushin banza, amma ka rage irin ƙyamar da ke cikinta.",Yes
You women are getting exactly what you deserve for being man haters who destroyed mens lives in divorce courts with your lies. [URL] #MGTOW,Ku mata kuna samun abin da ya dace da ku saboda kasancewar ku eamda suka tsanu maza kuma ku lalata rayuwar maza a kotun saki da ƙarairayi. [URL] #MGTOW,Yes
,MUTANE DA DAMA BASA NEMAN GASKIA KLLUM DAI SUNA SON SAMUN TABBACI DA KUMA GOYON BAYAN CEWA KARYAR DA SUKA GINU AKANTA GASKIA CE! ALLAH YA SHIRYA MU.AMEEN!,No
,Aiki ga mai ƙare ka -- Abba ya sha alwashin sai ya karaɗe duk jihohin Najeriya don fadakar da mutane muhimmancin yin rijistar zabe 😲😲,No
Maybe Karma will strike and her ass will be Gunned down in the streets!!,Hala sakamakon abin da zatayi zai same ta wataƙila ma a harbe ta a kan titi,Yes
,Ƴan bindiga sun harbe faston cocin katolika da suka sace a Kaduna,No
"All women are prostitutes, but prostitutes are the most hones women.","Duk yawancin mata karuwai ne, amma karuwai sune mafi gaskiya a cikin mata.",Yes
,"Zaɓen gwamnan Osun na 2022 ya zo da darussa da dama, ciki har da waɗanda ‘yan Najeriya kansu za su koya. Me kuka koya daga zaben? 🤔🤔",No
Behind every successful man there is a successful woman. Successful in finding him.,A tare da kowani mutum mai nasara akwai wata mace mai nasara wacce tayi nasarar samun shi.,Yes
,"Bayern Munich ta kammala daukar mai tsaron baya, Matthijs de Ligt daga Juventus.",No
,Manchester United ta casa Crystal Palace da ci 3-1 a wasan sada zumunta a shirin tunkarar kakar bana da suka kara a Amurka ranar Talata.,No
,"Yana da mata mai suna Françoise, wadda ya haifi ƴaƴa mata huɗu da ita, babbar cikinsu ita ce Rakiya Kaffa Jackou, wadda ta taba rike mukamin Minista a Jamhuriyar Nijar.",No
"All sex outside of marriage is fornication Anglin. For a harlot is a deep pit And an adulterous woman is a narrow well. Surely she lurks as a robber, And increases the faithless among men."""" Don't trust these hoes!","Duk wani jima'i a wajen aure zina ne, Anglin. Domin karuwa rami mai zurfi ce, kuma mace mai yin zina rijiya mara zurfi ce. Lalle tana tsalle kamar ɓarawo, kuma tana ƙara yawan marasa imani cikin maza."" ""Kada ku amince wa waɗannan karuwai!",Yes
,"Aunty Hafsatu Aminu dafatan an dawo lafiya, Allah ya karbi ibada Amin 🤲",No
"And not only that, but her parenting tactics would've produced more clueless betas and manipulative self-righteous bitches.","Ba wannan kawai ba, amma dabarun tarbiyyarta da sun haifar da ƙarin yara maza marasa hankali da 'yan mata masu yaudara da girman kai.",Yes
,Shugaban jam'iyyar APC Abdullahi Adamu ya ce rikicin cikin gidan jam'iyyar ne ya sa suka fadi zabe a jihar Osun.,No
,Ta tabbata cewar Kano Pillars ta fadi daga gasar Firimiyar Najeriya bana a karo na uku a tarihin kungiyar.,No
men are way more likely to be physically assaulted. men and women are supposedly equal so crime against vagina isn't special.,"Maza sun fi fuskantar hari na jiki. Idan maza da mata daidai ne, to laifukan da aka yi wa farji bai da wani bambanci.",Yes
,"Gyaran FM Hadejia shine asalin kasuwar biyan buƙata. Yo in ba haka ba, me yasa tun kafin a fito takara ba a gyara ba?",No
,"Jama'a ku daina cewa ""Baba Buhari ya sayar da NNPC"", wannan maganar ba haka take ba.",No
"Kick her in the balls first, then jail the old bitch!",Ka dake ta a farjin ta kafin ka kai ta kurkuku.,Yes
,Abinda Yan Bid'ah Sukeyi a Aikin Hajji Izgilanci ne Ga Addini da Tozarta Kasar Musulunci.,No
rebuke her female nature,ka canja mata yanayin ta na mace,Yes
"the fuck are you spouting.. 2 heads are better than one, hopefully one stumbles along to recognize what type of relationship you want. If you chase and allow her to dominate the relationship then you fucked","Me kuke faɗa? Kayuka biyu sun fi ɗaya - da fatan ɗaya zai gane irin dangantakar da kuke buƙata. Idan ka bi ta ka bar ta ta yi mulki, to ka ɓata.",No
"1. They’re looking to see if other women want you (social proof) so they don’t seem weird if they want you. 2. If you’re a virgin, lie. Fake it till you make it. The girl who I lost my virginity to thought I had slept with 7 women (LOL).","1. Suna neman ganin ko wasu mata suna son ku (shaida na zamantakewa) don kada su zama masu ban mamaki idan suna son ku. 2. Idan baka taɓa yin jima'i ba to ka yi ƙarya. Ka yi kamar ka saba har ka samu nasara. Yarinyar da na fara jima'i da ita ta yi zaton na yi jima'i da mata bakwai (LOL).""",Yes
No person should ever expect others to treat them or their body with more respect than they treat their body. You can't treat yourself like shit but expect everyone else to treat you like a pretty little precious princess. =),Babu wani mutum da ya kamata ya yi tsammanin wasu su rika mutunta shi ko jikinsa fiye da yadda yake mutunta jikinsa. Ba za ka iya cin mutuncin kanka amma ka sa ran kowa ya rika kula da ka kamar yarinyar sarki ba. =),Yes
Stop giving a fuck what women think. She’s not your mom. Talk and fuck all the women you want. Don’t say that cringe boo shit. It’s beta and cucked,"Ka daina damuwa da abin da mata ke tunani, ai ba uwarka ba ce, kayi magana kuma kayi jima'i da duk matan da kake so. Kar ka maƙale musu. wannan ai wauta ne.",Yes
,"Ka kiyaye mutuncinka. Kada ka ci mutuncin wani karka yarda aci naka. Karka wulakanta wani karka yarda a wulakantaka. Karka yima wani sharri, ko hassada, ko kiyayya, ko mugunta, Allah zai kareka daga masu nufinka da haka.",No
,"Gashi halau ya kara farashin man fetur,Amma kunsan Da ba shi ke mulki ba aka samu ƙara farashin mai din nan da tunu yana nan ya ishe mu da kuka yana cewa ana cutar Talaka a Nigeria 😨.",No
,"Hoto na farko, gidan Atiku a Dubai, shiyasa ko sallah na bana ya tsere yayi a chan, hoto na biyu garin Adamawa kenan garin Atiku... wannan gidan da ya shirga a a Dubai kila ko an zabe shi chan zai rinka tserewa😁",No
Women want money. That's all women want. 99% of their activities is about maximizing profits from men. Men chase pussy women chase money.,"Mata suna son kuɗi, iya abinda mata ke so kenan, kashi 99 na ayyukan su shine don samun riba daga maza, maza suna bin farji mata na bin kuɗi.",Yes
Strange how she is several shades lighter in the painting. The arms look like ape arms. [URL],Abin ban mamaki yadda hoton ta ya nuna ta fi haske fiye da yadda take a zahiri. Hannunta sun yi kama da na biri. [URL],Yes
,"Ni fa yasin ko ɓaci raina yayi in naji an ambaci ""Khadija"" sai in samu ""Aɗɗumaninatun"" In ke ba Khadija bace toh...!",No
"You don’t delete on gab my friend. Unless it’s left wingers, you can delete as many of those cunts as you wish.","Kar ka share Gab abokina, sai dai idan 'yan hagu ne, zaka iya share iya yawan karuwan da kake so.",Yes
"She really did harassed me for no reason at r/insubs. I just said I hate IT, then she had gotten triggered by my post. SMH. She really is a BITCH!","Da gaske ta yi mini ta'addanci ba dalili ba a r/insubs. Na ce kawai ina ƙin IT, sai ta fusata da rubutuna. Kai! Ita ainihin karuwa ce!",Yes
""""" Getting women is like going to Walmart. I can shit on Walmart and still shop there faggot"""" This had me literally laughing out loud.","""""Samun mace kaman zuwa kasuwar walmart ne, zan iya zuwa nayi abin da nake so kuma nayi siyayya a wajen"""" Hakan ya ban dariya sosai",Yes
,Shifa musulunchi dadi ne da ita Allah Ka Kara mana Eimani da tsoron Allah Allah Ka Kara wa annabi daraja❤️,No
,Ai nadauka najeriyar Manjo ya saida! Sai anemi yafiyar Atiku ai.,No
,"Da Dumi Duminsa: Da yiyuwar INEC zata daure Ahmad Lawal, Tambuwal da kuma Akpabio na tsawon shekaru biyu",No
,Allah ya jikan kawu 'mamman' ya sa aljannah fiddausi makoma. Amen,No
"Thats what the middle east is like, they also change allegiances on a dime. [URL] Seems some cunt edited half the speech out, thats not the one I was thinking of. You can watch a longer one on youtube. Gaddafi calls out the Saudis more.","Haka al'adar Gabas ta Tsakiya take, suna canza mubaya'a kamar canjin hannu. [URL] Da alama wata muguwar mace ta gyara rabin jawabin, ba wanda nake tunani ba. Za ka iya kallon wani mai tsayi a YouTube. Gaddafi ya fi zargin Saudiyya a cikinsa.",Yes
,"Kawai Ku hakura mun fada muku ba wani zama da zaa sakeyi, kuzo a cigaba da tafiya a haka.",No
"And it is women who are terrified of men controlling their sexuality, because men wanting to fuck women is literally the only reason women survive.","Kuma  mata ne ke tsoron kar maza su samu damar juya jima'in su, saboda iya abinda maza ke shine jima'i da mata don su wanzu.",Yes
,"Duk wanda yace maka Buhari ya siyar da NNPC, ka tambaye shi ya fada maka waye ya siye ta? Idan ya'isa ya baka ansa. Kame kame kawai zaiyi maka.",No
"That bitch ought to have a husband with his cock silencing her stoopid, jewshit-babbling mouth.",Yakamata ace waccan karuwan ta samu miji da zai na sa ta yin shiru da azzakarin sa.,Yes
,"Ahmed Awaisu, Nagode!",No
"oh well, bet she knows very well what she wants and that is riding the cock carousel.","Haba dai, ina ganin ta san abinda take so sosai kuma shine ta samu tayi jima'i.",Yes
,"Sai kaga mutun yana ta sukar Atiku a 2019 kan yayi furucin zai sayar da NNPC, yau kuma kagan shi yana kare Buhari akan yin hakan.",No
,"Su fah masu suna ""Murtala"" akwaisu da kirki, mutunci, daraja, karamci, ihsani, biyayya, fadin gaskiya, rikon Amana, taimako, kuLawa, kyauta, da kuma sanin ya kamata.....Hakan yasa akewa wani lakabi da dan Aljannah 😻🙌🏻😁💃🏻💥🔥🔥",No
"If a woman says fuck marriage she's """"strong and independent"""" If a man says fuck marriage he's a misogynist and in a cult. Just more misandry and male shaming.","Idan mace tace bata buƙatar aure  to ta zama ""mace ma ikon cin gashin kanta"" amma idan na namiji ya faɗa to sai ace shi ""mai ƙin mata"" ko kuma yana cikin ƙungiyar ta'addanci. wannan ai cin zarafin maza ne da kuma zaluntar su.",Yes
,"Da alama gwabnatin nan ta gama aikinta kakaf ta shiga aikin Atiku Abubakar, saura Federal universities Da federal Medical Center.",No
"""""A man invests himself completely in a woman because he hasn’t made anything of himself. It is an abdication of his manhood."""" - [USER] [URL]",Namijin da yake yin wa mace kuma ya kasa yin komai wa kan sa. Hakan barin mazantakar sa ne.,Yes
,Tunda dai NNPC a ka sayar ba NNPP ba ai da sauƙi. Dama ba inda talaka ke amfanarta. Kawai dai Allah ya isan Atiku!,No
Call the cops on her and sue her for defamation. Girls are generally pathological liars. It would be easy when the cops go for the story only for her to change it regularly on the fly.,"Ƙira mata 'yan sanda kuma ka kai ƙaranta saboda ɓatanci. Yawancin lokuta mata maƙaryata ne, zai fi sauƙi idan 'yan sanda suka ji labarin da ke yawan canjawa daga bakin ta.",Yes
,AJAWA Political MARADONA NE A SIYASAR JIGAWA INJI ABDUL MAI RICE.,No
Are they just regular photos or are they kind of risque? You might suggest something a bit more sexy and see what she does. A girl that likes you won't mind a bit to show off some of her feminine wiles.,Shin hotunan na yau da kullun ne ko kuma sun ɗan ƙunshi abin burgewa? Za ka iya ba da shawarar wani abu mai ɗan lada ka ga yadda za ta amsa. Yarinyar da take son ku ba za ta ƙi nuna wasu daga cikin fasaharta na mace ba.,Yes
,"Komai Normal Ne, Ko me akayi Normal Ne, idan ma baayi ba Normal Ne...",No
"little girl, youre really the boss--come back tomorrow and find out how","Yar ƙaramar yarinya, lallai ke ce shugaba, ki dawo gobe ki san yaya aka yi haka.",Yes
,"Jama ar, Hadejia, Auyo Da Kafin Hausa Karku Zabi Kamfani Auyo Dan Bashida Kyawawan Manufofi Garemu",No
"I've never seen this many pissed off females in my life, for me ones, one too many..LOL","Ɓan taɓa ganin mata da yawa wanda ran su ya ɓaci kaman waɗannan ba, gaskiya suna da yawa.. LOL",Yes
Exactly. If you have to buy her she's a prostitute,Tabbas. Idan ka siye ta ta zama karuwa.,Yes
,Mutane Nagari kullum Kyakkyawan zato na binsu.,No
She almost looks like a woman in that pic. Almost....,Tayi kusan kama da mace a wancan hoton.,Yes
,Idan dan masarautar Hadejia bai zabi Dr. Nuruddeen Muhammad wa zai zaba?,No
There’s another subtext: “I’m not really a slut like those other women are”,"Akwai wata maƙala ma: ""Bani da halin karuwanci kaman sauran matan""",Yes
So ...typical woman?,To... ainihin mace?,No
9. This isn't the first time Tara has stirred up public drama by painting herself as some kind of victim of harassment from alt right men.,Wannan ba shine karo na farko da Tara ta tada hankalin jama'a ba ta hanyar nuna kanta a matsayin wadda aka yi wa tursasawa daga mazan masu ra'ayin m.,Yes
,Buhari ya kafa tarihi,No
"See a therapist. But make sure it's not female, or one that goes """"You just haven't found the right person yet.""""","Je wurin likitan kwakwalwa. Amma tabbatar ba mace ba ce, ko wacce za ta ce """"""""Har yanzu baka sami wanda ta dace ba.""""""""""",Yes
,Atiku bai siyar da NNPC ba Allah ka iya mana.,No
